localidade,coluna_idx,valor
Rio Grande do Norte,24,87.6
Rio Grande do Norte,25,30.83
Rio Grande do Norte,26,30.42
Rio Grande do Norte,27,30.85
Rio Grande do Norte,28,5.63
Rio Grande do Norte,29,4.13
Rio Grande do Norte,30,5.8
Rio Grande do Norte,31,24.99
Rio Grande do Norte,32,10.64
Rio Grande do Norte,33,26.61
Rio Grande do Norte,34,98.61
Rio Grande do Norte,35,93.71
Rio Grande do Norte,36,98.74
Rio Grande do Norte,37,87.81
Rio Grande do Norte,38,80.66
Rio Grande do Norte,39,88.13
Rio Grande do Norte,40,33.4
Rio Grande do Norte,41,32.23
Rio Grande do Norte,42,33.45
Rio Grande do Norte,43,6.7
Rio Grande do Norte,44,4.96
Rio Grande do Norte,45,6.96
Paraíba,1,25.23
Paraíba,2,10.77
Paraíba,3,26.67
Paraíba,4,98.51
Paraíba,5,91.88
Paraíba,6,98.7
Paraíba,7,85.35
Paraíba,8,80.09
Paraíba,9,85.54
Paraíba,10,29.07
Paraíba,11,29.09
Paraíba,12,29.07
Paraíba,13,5.7
Paraíba,14,4.2
Paraíba,15,5.9
Paraíba,16,25.86
Paraíba,17,11.76
Paraíba,18,27.07
Paraíba,19,98.36
Paraíba,20,91.4
Paraíba,21,98.59
Paraíba,22,85.3
Paraíba,23,77.94
Paraíba,24,85.58
Paraíba,25,27.85
Paraíba,26,24.92
Paraíba,27,27.96
Paraíba,28,5.04
Paraíba,29,3.57
Paraíba,30,5.2
Paraíba,31,24.65
Paraíba,32,10.03
Paraíba,33,26.28
Paraíba,34,98.66
Paraíba,35,92.51
Paraíba,36,98.81
Paraíba,37,85.39
Paraíba,38,82.36
Paraíba,39,85.51
Paraíba,40,30.31
Paraíba,41,32.84
Paraíba,42,30.2
Paraíba,43,6.28
Paraíba,44,4.63
Paraíba,45,6.52
Pernambuco,1,24.91
Pernambuco,2,11.5
Pernambuco,3,26.29
Pernambuco,4,98.18
Pernambuco,5,92.76
Pernambuco,6,98.37
Pernambuco,7,84.75
Pernambuco,8,80.46
Pernambuco,9,84.94
Pernambuco,10,25.32
Pernambuco,11,25.59
Pernambuco,12,25.31
Pernambuco,13,5.52
Pernambuco,14,4.3
Pernambuco,15,5.69
Pernambuco,16,25.81
Pernambuco,17,13.19
Pernambuco,18,26.91
